video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=JEtNxNW0bRU&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@TEDx,TEDx Talks,How Can We Solve the College Student Mental Health Crisis? | Dr. Tim Bono | TEDxWUSTL,31K,2 years,"Professor Tim Bono's talk delves into the mental health and psychology of students, specifically how unrealistic expectations can ...",2024-01-19 22:08:53.196404
/watch?v=l_9PchV6PIc&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@crashcourse,CrashCourse,Your Mental Health in College | How to College | Crash Course,98K,1 year,"There is a lot of stress and anxiety around college, whether you're fresh out of high school or you've decided to go back to school ...",2024-01-19 22:08:53.206701
/watch?v=CkCV0puBDoE&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@PBSNewsHour,PBS NewsHour,Universities pushed to address mental health concerns on campus after student suicides,30K,2 months,Higher education is facing a mental health crisis. Yale settled a lawsuit following the death of a student by suicide in 2021 and will ...,2024-01-19 22:08:53.216960
/watch?v=4QB00M0cVDE&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@PBSNewsHour,PBS NewsHour,How the pandemic is impacting college students' mental health,94K,2 years,"College students have long been prone to stress, anxiety and depression. And three out of four Americans between the ages of 18 ...",2024-01-19 22:08:53.221752
/watch?v=ncwtfset8rM&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@WQED,WQED Pittsburgh,Mental Health and College Students,43K,8 years,"According to a study conducted by the American College Health Association, more than 50% of college students reported feeling ...",2024-01-19 22:08:53.230278
/watch?v=QSiMCluPFuY&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@PBSNewsHour,PBS NewsHour,"More stress, less stigma drives college students to mental health services",27K,8 years,"Rates of anxiety and depression among college students in the U.S. have soared in the past decade. In response, schools are ...",2024-01-19 22:08:53.238901
/watch?v=FZL_3HNSwyQ&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@WCNC,WCNC,Report shows college students' mental health struggles on the rise,665,9 months,A report released overnight from Gallup shows an alarming increase in mental health struggles among college students.,2024-01-19 22:08:53.245456
/watch?v=qpRmtMDwKl4&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@OasisMentalHealthApplications,Oasis Mental Health Applications,Managing Your College Life | Supporting Mental Health and Wellbeing,1.7K,1 year,"Every fall, thousands of students, like yourself, transition from their homes to school and begin the next chapter of their life.",2024-01-19 22:08:53.254848
/watch?v=TR4ZgvAchhU&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@iubmb1649,IUBMB,🔴 Live – Dealing With Mental Health in Science,28,1 day,"Handling mental health in academia... Join our live event on how to deal with anxiety, depression, fear, exhaustion and stress in ...",2024-01-19 22:08:53.257393
/watch?v=Ekf2KwJCRI4&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@NBCNews,NBC News,College Students Struggle With Mental Health Amid the Pandemic | NBC Nightly News,102K,2 years,"Due to social isolation, many college students are facing increased mental health challenges like anxiety and depression.",2024-01-19 22:08:53.260083
/watch?v=ur8TZf6HWSs&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@TEDx,TEDx Talks,Shedding Light on Student Depression | Jack Park | TEDxPenn,219K,8 years,"He shows us the world of mental illness in a new light, so we can begin addressing issues associated with suicide, depression, ...",2024-01-19 22:08:53.274477
/watch?v=qw38Zf2NC8A&pp=ygUVY29sbGVnZSBtZW50YWwgaGVhbHRo,/@kaileyanderson,Kailey Anderson,Depression in College | Mental Health + Things That Help,50K,2 years,"my story about my mental health, and what has helped me since my diagnosis three years ago + my recent relapse with ...",2024-01-19 22:08:53.277850
