video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=A-5I3cYhZ2U&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,This is Georgia Tech,278K,9 years,"The Georgia Institute of Technology is one of the nation's top research universities, distinguished by its commitment to improving ...",2024-01-19 22:02:31.721778
/watch?v=rqQtyEAr0x4&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@ACCDigitalNetwork,ACC Digital Network,Georgia Tech vs. Clemson Condensed Game | 2023-24 ACC Men’s Basketball,4.7K,2 days,"The Yellow Jackets had one of the best comebacks of the season to defeat the Tigers, 93-90 in double overtime. Georgia Tech ...",2024-01-19 22:02:41.966226
/watch?v=BsFs99sYtV0&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@R247Success,R247 Success,Georgia Institute of Technology Guide - Georgia Tech Engineering,3.2K,6 months,Guide to Georgia Tech. The Georgia Institute of Technology. Georgia Tech Information Guide. Georgia Tech Engineering **More ...,2024-01-19 22:02:41.969336
/watch?v=s4fL4y0pJv8&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,Why choose Georgia Tech?,64K,3 years,"From the diversity of academic majors to the many study abroad programs and internships, Georgia Tech students, faculty, and ...",2024-01-19 22:02:41.974275
/watch?v=jMVOtD1kwJI&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@TinaHuang1,Tina Huang,Watch this video before applying to Georgia Tech OMSCS,71K,2 years,"Georgia Tech OMSCS is not for everyone. Btw sorry about audio quality, I have no idea what happened :( maybe turn on subs?",2024-01-19 22:02:41.985761
/watch?v=_1gYnCbWfTA&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@mahayahmed4567,mahay ahmed,A Realistic Day In The Life At Georgia Tech,29K,1 year,"Day In The Life At Georgia Tech In The Year 2022 This video was heavily inspired by the style of Sugar Pine 7, but also that ...",2024-01-19 22:02:41.988168
/watch?v=kSYor1u2WVU&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@TooTallTim,TooTallTim,GEORGIA TECH CAMPUS TOUR,85K,4 years,Have you ever dreamed of going to Georgia Tech? Well this video will give you a glimpse into our beautiful little campus which ...,2024-01-19 22:02:41.997854
/watch?v=1Mz-GvziAcA&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@LetsGoLiz,Let's Go Liz,Georgia Tech Campus Tour - Beautiful Fall Day in Atlanta Georgia - College Tour,8.8K,2 years,We went on a Georgia Tech Campus Tour on a Beautiful Fall Day in Atlanta Georgia. Georgia Tech is located in Atlanta Georgia ...,2024-01-19 22:02:42.000891
/watch?v=iAEyBdIpCaM&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@KyleKeirstead,Kyle Keirstead,Advice For Anyone Considering Georgia Tech,80K,3 years,"Recently, Georgia Tech came out with their first Early Action decisions for 2021. Here's five questions I'd ask anyone who's ...",2024-01-19 22:02:42.004133
/watch?v=UzjeXIjJ6sI&pp=ygUfZ2VvcmdpYSBpbnN0aXR1dGUgb2YgdGVjaG5vbG9neQ%3D%3D,/@georgiatech,Georgia Tech,Georgia Tech: This Is The Place,90K,7 years,"At Georgia Tech http://www.gatech.edu, we're ready for another year of rolling up our sleeves and creating the next ...",2024-01-19 22:02:42.009345
