video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=-bVEPp1cb1o&pp=ygUSc2VhdHRsZSBjcmltZSByYXRl,/@fox13seattle,FOX 13 Seattle,Seattle violent crime rates: Violent crime sees 15-year high | FOX 13 Seattle,2.1K,11 months,"We continue to track the rising crime rates and Seattle police released their final 2022 report. While crime is on the rise, it's violent ...",2024-01-19 22:06:55.370457
/watch?v=989WFGVnY_0&pp=ygUSc2VhdHRsZSBjcmltZSByYXRl,/@GMA,Good Morning America,On the frontlines: Seattle facing rise in crime,11K,1 year,Interim Chief of the Seattle Police Department Adrian Diaz on combating escalating gun violence in Seattle and the shortage of ...,2024-01-19 22:06:55.376863
/watch?v=iYu9LQ9EoNc&pp=ygUSc2VhdHRsZSBjcmltZSByYXRl,/@fox13seattle,FOX 13 Seattle,Seattle store manager taking matters into his own hands with constant crime | FOX 13 Seattle,3.3M,1 year,There has been a lot of talk from elected leaders about finding new ways to curb crime and jail repeat offenders. As this debate ...,2024-01-19 22:06:55.381037
/watch?v=Bx4qgHnIvWg&pp=ygUSc2VhdHRsZSBjcmltZSByYXRl,/@KING5Seattle,KING 5 Seattle,"Seattle 2022 crime report: Violent crime, homicides and shootings increased",3.1K,11 months,"Seattle's violent crime rate reached a 15-year high in 2022, surpassing the record set in 2021, according to a yearly crime report ...",2024-01-19 22:06:55.402117
/watch?v=AEXfhMhiWac&pp=ygUSc2VhdHRsZSBjcmltZSByYXRl,/@KING5Seattle,KING 5 Seattle,Tech company won't bring people back to downtown Seattle office due to crime,108K,1 year,It's not concerns over COVID-19 that are keeping a tech company from returning to the office. It's crime.,2024-01-19 22:06:55.409874
/watch?v=sxoT3ZRGWmo&pp=ygUSc2VhdHRsZSBjcmltZSByYXRl,/@komonews,KOMO News,"Seattle police chief admits crime is out of control, still optimistic",68K,11 months,"Seattle Police Chief Adrian Diaz acknowledges many people don't feel safe in the city, however he's feeling optimistic following ...",2024-01-19 22:06:55.427624
/watch?v=V4HmdJzcRDM&pp=ygUSc2VhdHRsZSBjcmltZSByYXRl,/@KING5Seattle,KING 5 Seattle,Deep Dive: Seattle crime statistics,2.8K,3 years,"In the wake of Seattle's recent shooting, it's important to understand what ""safe"" really means in the city of Seattle.",2024-01-19 22:06:55.435749
/watch?v=OSr5jNpnttE&pp=ygUSc2VhdHRsZSBjcmltZSByYXRl,/@fox13seattle,FOX 13 Seattle,Criminals increasingly target women in recent crimes | FOX 13 Seattle,30K,1 year,"With crime on the rise all over Puget Sound, so too are violent attacks on women. Subscribe to FOX 13 Seattle: ...",2024-01-19 22:06:55.443202
/watch?v=KLmkX90vt80&pp=ygUSc2VhdHRsZSBjcmltZSByYXRl,/@fox13seattle,FOX 13 Seattle,"Concerns about crime in south Seattle, International District | FOX 13 Seattle",6K,4 months,Community members have voiced their concerns publicly and to officials regard the uptick in crime in the area. Subscribe to FOX ...,2024-01-19 22:06:55.453178
/watch?v=QrRt6mi11XE&pp=ygUSc2VhdHRsZSBjcmltZSByYXRl,/@KING5Seattle,KING 5 Seattle,Extended interview: Seattle police chief on 2022 crime report,839,11 months,"Seattle's violent crime rate reached a 15-year high in 2022, surpassing the record set in 2021, according to a yearly crime report ...",2024-01-19 22:06:55.469420
