video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=gOmiwd2HS_c&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UWVideo,UW Video,University of Washington Campus Tour,461K,11 years,"Check out the University of Washington's main campus, with a look at the natural beauty and architectural wonders that make the ...",2024-01-28 19:41:24.331614
/watch?v=kzmXsLLCY2M&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@runnerspace,runnerspace,American 1000m Record Broken At University of Washington,3.9K,21 hours,Nikki Hiltz runs to a new American best 2:34.09 1000m at the University of Washington Indoor Invitational on Saturday afternoon.,2024-01-28 19:41:24.334911
/watch?v=HmKKy0zD-uw&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@hafu,Hafu Go,What's It Like Inside University of Washington? | UW Campus Crawl Tour,369K,3 years,"CAMPUS CRAWL is the series where I take you to the best college campuses across the world! I'll show you the student life, ...",2024-01-28 19:41:24.338577
/watch?v=g--93OS0498&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@nancyhe,Nancy He 何南希,DAY IN MY LIFE @ the University of Washington // freshman,21K,1 year,"dayinthelife #universityofwashington #collegevlog welcome everyone to, I think, my favorite video I've ever filmed/edited ever!",2024-01-28 19:41:24.340914
/watch?v=klDLZ6mAS1k&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@CampusMania,CampusMania,University of Washington | UW | 4K Campus Drone Tour,26K,1 year,A shortened version of our University of Washington campus tour in 4K! Watch our full tour of UW campus in 8K from here: ...,2024-01-28 19:41:24.345287
/watch?v=88KYomHYmjc&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UniversityWalkTour,University Walk Tour,University of Washington - Virtual Walking Tour [4k 60fps],13K,1 year,"Walking on the University of Washington main campus during the cherry blossom season. The campus is located in city of Seattle, ...",2024-01-28 19:41:24.348133
/watch?v=64eaz6VlAlI&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@lucylee13,Lucy Lee,week in my life as a grad student in seattle | university of washington,4.6K,3 months,damn grad school is no joke LOL.. so grateful for my friends who play with me as I die T_T love u all xx thanks for following me ...,2024-01-28 19:41:24.350446
/watch?v=BIWAo4DKyLo&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@universityofwashington,UW (University of Washington),University of Washington student 'move-in' 2023,4.1K,4 months,"From September 19th to 22nd, thousands of UW students move into campus housing and prepare for the new academic year.",2024-01-28 19:41:24.352426
/watch?v=D4R-YZ-VZhQ&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@adamgresch,Adam Gresch,Why You Should Go to the University of Washington,141K,5 years,A peek into what actually makes the University of Washington such a great place to go to school. Hint: It's not all the usual stuff you ...,2024-01-28 19:41:24.355340
/watch?v=eArtrDFSF24&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@TaylorQuynh,Taylor Quynh,Pros and Cons of the University of Washington,37K,2 years,A quick video on some of the pros and cons I've found at the UW over the past two years. Please make sure to like and subscribe!,2024-01-28 19:41:24.358960
/watch?v=sqtnxj0i52Q&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@ActionKid,ActionKid,Seattle Walk : University of Washington Campus & U-District in April 2023,16K,8 months,"The University District, often called ""U-District,"" is a neighborhood located in the north-central part of Seattle, Washington. As the ...",2024-01-28 19:41:24.362017
/watch?v=PgY4ZOJbUu4&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@UW_Athletics,UW Athletics,UW Football Head Coach Jedd Fisch Introductory Press Conference,35K,Streamed 12 days,Watch UW Football Head Coach Jedd Fisch's introductory press conference live from Alaska Airlines Field at Husky Stadium.,2024-01-28 19:41:24.373601
/watch?v=etRZCmYa1bw&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@dobochobo,dobochobo,first week of college 🍵☔️ as a senior @ university of washington!,137K,3 months,"a week of settling in, trying to get back into the groove of college life, & lots of caffeine. i know it is way past back to school season ...",2024-01-28 19:41:24.376338
/watch?v=hyfG4_9zCOQ&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@jessicastarsinspace2563,Jessicastarsinspace,Why You Shouldn’t Go to the University of Washington,82K,2 years,"Hi everyone! If you're new to my channel, my name is Jessica, and I'm a second-year student at the University of Washington.",2024-01-28 19:41:24.380657
/watch?v=miO5fPKBNSI&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@dobochobo,dobochobo,COLLEGE MOVE IN DAY // freshman @ university of washington!,901K,2 years,"the day has finally come! a semi-anticlimactic vlog of the first step in my ""adulting"" (if this even counts haha) life. me? adult? who ...",2024-01-28 19:41:24.383133
/watch?v=nG3PNwPmCIU&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@jessicastarsinspace2563,Jessicastarsinspace,How Difficult is it to Get Into Every Major at UW?,20K,2 years,... is to talk about the different majors at the university of washington and how easy or difficult it is to get into them they ask you how ...,2024-01-28 19:41:24.385709
/watch?v=JRriG9QJvGc&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@ShirishGee,Shirish Gupta,"UNIVERSITY OF WASHINGTON, SEATTLE - COMPLETE GUIDE HOW TO GET IN | College Admissions, College vlog",21K,1 year,"MOST BEAUTIFUL CAMPUS, UNIV OF WASHINGTON, SEATTLE is one of the top universities around the world. Here is a Step ...",2024-01-28 19:41:24.389603
/watch?v=7Z1y6F4FJW4&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@nancyhe,Nancy He 何南希,💗dorm room tour💗| university of washington,5.7K,5 months,dormtour #universityofwashington #seattle The long-awaited University of Washington dorm tour is finally here!! Sorry for the wait ...,2024-01-28 19:41:24.392306
/watch?v=4Jp3u_s714c&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@rachellelui,Rachelle Lui,university of washington I first week of school vlog 🍂,11K,2 years,intro 00:00-00:23 monday 00:23-4:40 tuesday 4:41-6:42 wednesday 6:43-9:08 thursday 9:09-11:19 friday 11:20-13:01 saturday ...,2024-01-28 19:41:35.732872
/watch?v=CZn5jvoWQZM&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@fox13seattle,FOX 13 Seattle,University of Washington ranks 17th best university in the world | FOX 13 Seattle,2.2K,1 year,University of Washington ranks 17th best university in the world. Washington State University ranks among the top 300 ...,2024-01-28 19:41:35.734294
/watch?v=JSiuqUIExVM&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@fox13seattle,FOX 13 Seattle,Move-in day at the University of Washington,1K,4 months,"This week, students around the country are returning to college. It's move-in day for most schools on the quarter system, like UW ...",2024-01-28 19:41:35.735623
/watch?v=zGauqOEDdK0&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@Soundwayz,Sound Wayz,"[4K] Seattle's University District, and the University of WA Campus Walk Through",3.9K,10 months,"Seattle's University District and the University of Washington, Walking Tour in Seattle WA - USA. 2023 The University of ...",2024-01-28 19:41:35.736932
/watch?v=2Enr83__pvU&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@kennakwok.,Kenna Kwok,ALL ABOUT UW - WHAT I WISH I KNEW BEFORE,17K,2 years,I wanted to share a video covering all aspects of the University of Washington and things I wish I knew before freshman year!,2024-01-28 19:41:35.738703
/watch?v=VdB_a2HBjNo&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@rachellelui,Rachelle Lui,University of Washington ☆ Things I Wish I Knew Before Freshmen Year,49K,3 years,"Hi everyone! For upcoming freshmen, this is a short video on some things I wish I knew before I attended UW :) ☆ SOCIAL MEDIA ...",2024-01-28 19:41:35.740469
/watch?v=wk8X2giqWM0&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@KiaraMadisen,Kiara Madisen,"Life as a UW Student in Seattle, WA | ft. Kam Schalk",68K,2 years,Finally got to live out my dream of exploring life as a student at my rival university! Kam and I reunite for the best 24 hour trip full of ...,2024-01-28 19:41:35.741820
/watch?v=AEPZpPdnA3M&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@jessicastarsinspace2563,Jessicastarsinspace,How I Got Into the University of Washington | My Stats + Extracurriculars + More!,10K,3 years,Music Credits: don't leave me here alone by Artificial.Music https://soundcloud.com/artificial-music Creative Commons ...,2024-01-28 19:41:35.743010
/watch?v=H_3ENKlo6oo&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@kennakwok.,Kenna Kwok,DORM TOUR 2021 - UNIVERSITY OF WASHINGTON (Lander Hall),45K,2 years,MY OFFICIAL DORM ROOM TOUR! I hope you guys enjoy it and maybe get some inspiration! Shoutout to Clarice for filming too!,2024-01-28 19:41:35.745601
/watch?v=xjBmgHHBkII&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@garynegy,garynegy,Campus Tour | University of Washington | Seattle | Hogwarts Library | Hostel,2.6K,10 months,Hi! Let's take a stroll through University of Washington's beautiful campus. In this video you will also find a tour of College Inn hotel ...,2024-01-28 19:41:35.747397
/watch?v=qssBcJ20Dq8&pp=ygUYdW5pdmVyc2l0eSBvZiB3YXNoaW5ndG9u,/@theitwinerary3240,The Itwinerary,WALKING: University of Washington- Seattle,3.2K,1 year,"""The University of Washington (UW, simply Washington, or informally U-Dub)[7] is a public research university in Seattle, ...",2024-01-28 19:41:35.748645
