video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=_xzqfeXyoOk&pp=ygUDd3N1,/@CampusMania,CampusMania,Washington State University | WSU | 4K Campus Drone Tour,26K,2 years,"A 4K tour of Washington State University Campus! Washington State University (Washington State, WSU, or Wazzu) is a public ...",2024-01-28 19:44:12.866952
/watch?v=r6fXNqWUnPU&pp=ygUDd3N1,/@WomensBasketballAlliance,Women's Basketball Alliance,No. 11 USC vs Washington State | Pac-12 | 1.26.24,5K,1 day,LOS ANGELES — *Telecast Available | 0:00 - 16:38 Coaches Film | 16:39 - 29:23 The No. 11/10 USC women's basketball team ...,2024-01-28 19:44:12.873254
/watch?v=CKJuC5CUMgU&pp=ygUDd3N1,/@WorldScienceFestival,World Science Festival,"WSU: Space, Time, and Einstein with Brian Greene",6.6M,3 years,"Join Brian Greene, acclaimed physicist and author, on a wild ride into the mind of Albert Einstein, revealing deep aspects of the ...",2024-01-28 19:44:12.879935
/watch?v=OEmcsK2kruY&pp=ygUDd3N1,/@TheBoysof98,The Boys of 98,Washington State University | BUZZIN ACROSS AMERICA,134K,1 year,"And that is all she wrote for Season 2 fellas. What a way to end it, Washington State really knows how to get after it, their Greek ...",2024-01-28 19:44:12.882925
/watch?v=PymcQuIpfrQ&pp=ygUDd3N1,/@sophiajuliet.,Sophia Juliet,5 Things I Wish I Knew About WSU as an out of state student,7.4K,10 months,Here are 5 things I wish I knew about Washington State University as an out of state student. Part two of this video with 5 more ...,2024-01-28 19:44:12.886619
/watch?v=By7cVJvXEhA&pp=ygUDd3N1,/@CFBonFOX,CFB ON FOX,Washington State Cougars vs. No. 4 Washington Huskies Highlights | CFB on FOX,283K,2 months,Check out the best moments as the Washington State Cougars took on the No. 4 Washington Huskies in the Apple Cup.,2024-01-28 19:44:12.893134
/watch?v=lsts113KwEk&pp=ygUDd3N1,/@TheWSUGraduateSchool,WSU Graduate School,Washington State University Fight Song! (Animated Lyrics Video),150K,6 years,Learn WSU's Fight Song! Created by The Graduate School in collaboration with the WSU Marching Band. ®Washington State ...,2024-01-28 19:44:12.895777
/watch?v=L0jgWjLLs-0&pp=ygUDd3N1,/@WSUCougarAthletics,WSUCougarAthletics,WSU Football: Highlights vs. #19 Wisconsin 9/9/23,28K,4 months,"Washington State 31, Wisconsin 22 #GoCougs | #WAZZU | #CVE23.",2024-01-28 19:44:12.899785
/watch?v=m80hybUhW5I&pp=ygUDd3N1,/@KREM2NewsSpokane,KREM 2 News,WSU student found dead in dorm identified,166K,1 year,The student was identified as 19-year-old Luke Morgan Tyler of Redmond. Read more here: ...,2024-01-28 19:44:12.905867
/watch?v=gHIjOXEeY2s&pp=ygUDd3N1,/@wsustudentaffairs4994,WSU Student Affairs,Guide to Campus Living | Full Length,11K,3 years,We're thrilled to welcome you to the Cougar Family. We want to help you with the basics of on-campus living: Transportation ...,2024-01-28 19:44:12.909286
