video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=G8IryqIyaMk&pp=ygUDd3d1,/@BuyerMax,BuyerMax | Whatcom County Real Estate,Discover Western Washington University - Campus Tour: Bellingham Neighborhood Series | BuyerMax.com,16K,2 years,Take a Tour of Bellingham's Western Washington University Campus and surrounding areas.,2024-01-28 19:45:41.204476
/watch?v=wdQrjcN4hYc&pp=ygUDd3d1,/@WWUHockey,WWU Hockey,WWU VS UCSD 1.26,225,Streamed 1 day,Hello everybody and welcome in to this ACA match up between the UCSD tritons against your Western Washington Vikings ...,2024-01-28 19:45:49.355215
/watch?v=s1KLYMQitcQ&pp=ygUDd3d1,/@WWUVikingsAthletics,WWUVikingsAthletics,Western Washington University - Campus Tour,17K,3 years,"Take a tour of the Western Washington University campus in Bellingham, Washington, through the eyes of the Department of ...",2024-01-28 19:45:49.360718
/watch?v=OcDd9ETlav4&pp=ygUDd3d1,/@wwu,Western Washington University,Western Washington University Campus Tour,46K,4 years,"Welcome to Western Washington University! Join us for a video tour of our beautiful campus located in Bellingham, Washington!",2024-01-28 19:45:49.364281
/watch?v=v-Z5hwN0gY8&pp=ygUDd3d1,/@NaomiNg,Naomi Ng,"BELLINGHAM VLOG | A day at Western Washington University, campus tour, Costco run",1.8K,11 months,"Being at Western Washington University (WWU) in the summer is so different! 6 years after my exchange program, I'm finally back ...",2024-01-28 19:45:49.371236
/watch?v=0j038rZ9Q4A&pp=ygUDd3d1,/@wwu,Western Washington University,WWU Campus Speedrun: Tour Western in 3 minutes,2.9K,2 years,Check out Western's beautiful campus in this hyperspeed tour! You'll start at the north end of campus where most of the academic ...,2024-01-28 19:45:49.374066
/watch?v=0sx6g8xQDh0&pp=ygUDd3d1,/@daniel.gallegos,Daniel Gallegos,PROS AND CONS: Western Washington University,499,4 months,"I loved my time at Western Washington University! I attended the school in Bellingham, Washington, from 2016 to 2019. I earned a ...",2024-01-28 19:45:49.376691
/watch?v=ybi8GxzM4qs&pp=ygUDd3d1,/@wwu,Western Washington University,WWU (Virtual) Housing Tour,14K,2 years,"You don't have to live on campus at WWU, but you can join current Western students for a dorm tour to learn why over 90% of first ...",2024-01-28 19:45:49.380970
/watch?v=_U9gZIOI2vk&pp=ygUDd3d1,/@WWUVikingsAthletics,WWUVikingsAthletics,"MBB | Western Washington vs. Alaska Fairbanks (1/20/24, 7 pm)",1.2K,Streamed 7 days,GoViks #WWU #Basketball Watch the Western Washington Vikings take on Alaska Fairbanks in a GNAC contests on WECU Court ...,2024-01-28 19:45:49.384025
/watch?v=sl4FgnwN14Q&pp=ygUDd3d1,/@WWUVikingsAthletics,WWUVikingsAthletics,"MBB | Western Washington vs. Alaska Anchorage (1/18/24, 7 pm)",1.1K,Streamed 9 days,GoViks #WWU #Basketball Watch the Western Washington Vikings take on Alaska Anchorage in a GNAC contests on WECU ...,2024-01-28 19:45:49.386796
/watch?v=Fji958tOqnM&pp=ygUDd3d1,/@wwu,Western Washington University,Explore Western Washington University | Go Northwest of Ordinary,1.3K,10 months,"See what makes Western Washington University different. WWU isn't a place where you show up for four years, learn a few things ...",2024-01-28 19:45:49.393071
/watch?v=L59JO0FkQsk&pp=ygUDd3d1,/channel/UClSvD0FvnusZtaIya_zyiwQ,Herve Pagez,"Herve Pagez, Lu City - WWU (Official Video)",157K,1 year,"Written by: Tylor 'Ryie' Auguste, Jean Atem Farah Produced by: Herve Pagesy, Joel Jaccoulet, Yannick Rastogi Music Video by: ...",2024-01-28 19:45:49.396264
/watch?v=KZSAgshzg7g&pp=ygUDd3d1,/@WWUVikingsAthletics,WWUVikingsAthletics,"WBB | #17 WWU vs. #9 MSU Billings (1/27/24, 7 pm)",1.1K,Streamed 14 hours,Watch the GNAC contest between No. 17 Western Washington and #9 Montana State Billings from WECU Court in Carver Gym in ...,2024-01-28 19:45:56.919407
/shorts/TkTWGstegPE,/@wwu,Western Washington University,Find Your Place at WWU,1.4K,9 months,"See what makes Western Washington University different. WWU isn't a place where you show up for four years, learn a few things ...",2024-01-28 19:45:56.922780
/watch?v=kAEqpRrrl18&pp=ygUDd3d1,/@alexnishi,Alex Nishi,Day in the Life of a WWU Freshman | Western Washington University Vlog,990,3 months,"dorm life; classes; student life; Thank you for watching, subscribe? ❤️ - I do not own any of the music played in this video, ...",2024-01-28 19:45:56.925364
/watch?v=ZQeDclzYOq4&pp=ygUDd3d1,/@WWUVikingsAthletics,WWUVikingsAthletics,"WBB | #21 WWU vs. Northwest Nazarene (1/13/24, 7 pm)",915,Streamed 2 weeks,Watch the GNAC contest between No. 21 Western Washington and Northwest Nazarene from WECU Court in Carver Gym in ...,2024-01-28 19:45:56.928160
/watch?v=U4NZlDQSrRI&pp=ygUDd3d1,/@wwu,Western Washington University,Dare to Dream at WWU,421,3 years,"Get to know Western's Dare to Dream, a week-long residential program for high school students from migrant farm-working ...",2024-01-28 19:45:56.931986
